Title	Author First Name	Author Last Name	Author Website	Publisher	Publication Year	ISBN	Barcode	Acquisition Date	Acquisition Price
The Long Dark Tea-Time Of The Soul	Douglas	Adams	https://www.douglasadams.com/	Pan Books	1988	0-330309-55-2	B117-54FF-4CF8-44DD	2013-01-14	$15.92
The Long Dark Tea-Time Of The Soul	Douglas	Adams	https://www.douglasadams.com/	Pan Books	1988	0-330309-55-2	1994-401D-243E-EFC0	2014-01-08	$15.06
Under Heaven	Guy Gavriel	Kay	https://brightweavings.com/	Roc	2010	04-51-46330-7	4ECA-4267-1E77-B863	2014-10-01	$16.79
The Complete Adventures of Feluda, Vol. 2	Satyajit	Ray		Penguin India	2005	0-1-4303278-X	9DE0-7235-B9ED-85C0	2008-10-11	$18.64
Penric and the Shaman	Lois McMaster	Bujold	http://www.dendarii.com/	Subterranean Press	2017	1-5-9606815-9	0757-D650-AC2E-1719	2019-07-24	$18.78
Penric and the Shaman	Lois McMaster	Bujold	http://www.dendarii.com/	Subterranean Press	2017	1-5-9606815-9	6815-70CF-5313-86E5	2018-08-04	$11.31
Penric and the Shaman	Lois McMaster	Bujold	http://www.dendarii.com/	Subterranean Press	2019	978-7-92-417816-X	65DF-420D-2F23-AF6F	2021-06-30	$17.13
Bottlenecks: Aligning UX Design with User Psychology	David C.	Evans		Apress	2017	148-422-579-1	A2F1-2AEB-2D6B-D0F6	2021-05-07	$15.61
Bottlenecks: Aligning UX Design with User Psychology	David C.	Evans		Apress	2020	978-54981-43-98-X	A641-6F12-9EFF-001A	2021-06-24	$14.75
Prelude to Foundation	Isaac	Asimov		HarperCollins	1994	0-5860-7111-3	8352-583D-1BE6-BCBB	2021-11-04	$8.92
The History of Akbar, Volume 3		Abu'l-Fazl		Harvard University Press	2017	067-4-65982-1	B82B-D880-2E84-81A6	2017-08-02	$8.03
Murder in Mesopotamia	Agatha	Christie	https://www.agathachristie.com/	Dell	1976	2-702-40378-6	5459-1AD9-F455-79FB	2022-09-09	$5.89
Spook Country	William	Gibson	https://williamgibsonbooks.com/	Berkley	2008	0-425221-41-5	01E4-10E7-73BE-3C20	2022-01-06	$19.03
Little Lord Fauntleroy	Frances Hodgson	Burnett		NTC/Contemporary Publishing Company	1998	18-532613-0-0	8837-7952-1B59-EB54	1998-02-08	$9.47
Flow My Tears, the Policeman Said	Philip K.	Dick	https://philipdick.com/	Gollancz	2001	1-85-798341-6	8A57-5981-311E-0392	2015-04-10	$9.64
The Hostile Hospital	Lemony	Snicket	http://danielhandler.com/	HarperCollins	2001	0064-40-866-3	2863-D333-6B2F-0D00	2015-02-26	$19.63
The Gathering Storm	Robert	Jordan		Tor Books	2010	0-765341-53-0	5CDA-FC80-2378-5057	2010-07-20	$5.99
Rhythm of War	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2020	0-7-6532638-8	B84E-1772-086F-AEFB	2021-09-21	$8.37
A Long Way Gone: Memoirs of a Boy Soldier	Ishmael	Beah		Farrar, Straus and Giroux	2007	03741-0-523-5	7815-1CA7-B8D5-E7C8	2012-02-10	$17.50
The History of Akbar, Volume 2		Abu'l-Fazl		Harvard University Press	2016	0-6-7450494-1	358C-F426-373B-3137	2022-04-23	$10.19
The History of Akbar, Volume 2		Abu'l-Fazl		Harvard University Press	2016	0-6-7450494-1	14D2-A247-3864-4D4F	2022-03-09	$10.15
The Fairy's Return and Other Princess Tales	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2006	0061-13-061-3	8968-B7BE-3FCD-B641	2011-11-29	$14.19
The Fairy's Return and Other Princess Tales	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2006	0061-13-061-3	E73D-1A1E-37F8-2F53	2008-02-08	$11.11
The Fairy's Return and Other Princess Tales	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2011	978-51-90-43727-0	FAB9-9283-8B28-E6FB	2019-01-05	$7.28
Shattered Pillars	Elizabeth	Bear		Tor Books	2013	0-76532-755-4	99C6-A801-CA73-AA1C	2018-10-12	$10.27
Shattered Pillars	Elizabeth	Bear		Tor Books	2013	0-76532-755-4	425B-2CF6-216D-77B6	2020-12-17	$6.37
Shattered Pillars	Elizabeth	Bear		Tor Books	2013	0-76532-755-4	7BB2-17AA-0F39-612C	2015-01-10	$12.05
These Happy Golden Years	Laura Ingalls	Wilder		HarperCollins	1953	006-4-40008-5	31C7-701F-23C0-1453	2004-05-11	$17.41
Firefight	Brandon	Sanderson	https://www.brandonsanderson.com/	Delacorte Press	2015	03857-4-358-0	56E2-895B-61B4-03C4	2019-08-02	$19.96
Emma	Jane	Austen		Dover Publications	2011	0-4864780-4-1	9F43-09F1-A158-1D95	2016-01-31	$19.00
Emma	Jane	Austen		Dover Publications	2011	0-4864780-4-1	17A7-A538-EC2B-E788	2015-06-20	$9.98
Ringworld	Larry	Niven		Del Rey	1985	03-453339-2-6	DBC7-31CB-2F87-690D	2020-09-29	$16.00
Noise: A Flaw in Human Judgment	Daniel	Kahneman		Little, Brown Spark	2021	0316-45-140-1	3244-DB49-1D39-694D	2021-04-01	$15.52
The Sandman Vol. 3: Dream Country	Neil	Gaiman	https://neilgaiman.com/	Vertigo	1991	1-5-6389016-X	4391-EBDC-CA1F-1541	2016-11-25	$8.00
Spellbound: Fantasy Stories	Diana Wynne	Jones	http://www.dianawynnejones.com/	Kingfisher	2007	0753-4-6144-7	5613-C49D-8749-5598	2007-05-15	$9.34
Ptolemy's Gate	Jonathan	Stroud	http://jonathanstroud.com/	Disney-Hyperion	2005	07-8-681861-1	1E90-257C-5EB9-775C	2009-01-11	$10.54
The Screaming Staircase	Jonathan	Stroud	http://jonathanstroud.com/	Disney-Hyperion	2013	142-31649-1-1	F5C6-562C-3ED8-0DD3	2019-09-22	$11.89
Catching Fire	Suzanne	Collins	http://www.suzannecollinsbooks.com/	Scholastic Press	2009	04390-2-349-1	1E27-991E-31D3-9719	2018-04-06	$5.06
The Assassins of Thasalon	Lois McMaster	Bujold	http://www.dendarii.com/	Subterranean Press	2022	1-6452-4089-4	9E89-E8B2-D28E-F8B7	2022-10-29	$15.34
The Wonderful Story of Henry Sugar	Roald	Dahl	https://www.roalddahl.com/	Puffin	2000	01-4-130470-7	6AF3-E6EC-39D5-E0E8	2007-09-08	$19.67
Furies of Calderon	Jim	Butcher	https://www.jim-butcher.com/	Ace Books	2005	04410-1-268-X	A5E0-ACEB-4934-DE1E	2010-11-21	$15.77
The Ramayana: A Shortened Modern Prose Version of the Indian Epic	R. K.	Narayan		Penguin Classics	2006	01430-3-967-9	D6FE-91B2-E23E-CF14	2015-01-27	$7.99
Dark One Volume 1	Brandon	Sanderson	https://www.brandonsanderson.com/	Vault Comics	2021	1939424-4-5-3	317D-D300-49F0-17F0	2021-08-10	$11.39
More Mexican Everyday: Simple, Seasonal, Celebratory	Rick	Bayless		W. W. Norton & Company	2015	03-9308-114-1	653B-F058-1E9A-3CAC	2016-08-25	$14.99
More Mexican Everyday: Simple, Seasonal, Celebratory	Rick	Bayless		W. W. Norton & Company	2015	03-9308-114-1	EC65-7BEE-6578-2871	2018-01-10	$8.52
More Mexican Everyday: Simple, Seasonal, Celebratory	Rick	Bayless		W. W. Norton & Company	2015	03-9308-114-1	3C6E-9790-6B1B-E350	2018-04-12	$12.35
The Kodansha Kanji Dictionary	Jack	Halpern		Kodansha International	2013	1-5-6836408-3	5726-187D-FC09-509D	2016-11-17	$8.08
The Kodansha Kanji Dictionary	Jack	Halpern		Kodansha International	2013	1-5-6836408-3	9C25-9B15-BB43-4DA7	2015-02-15	$9.24
The Kodansha Kanji Dictionary	Jack	Halpern		Kodansha International	2013	1-5-6836408-3	5F8C-9E3B-3FD7-D8AB	2014-09-13	$19.14
House of Shadows	Rachel	Neumeier	https://www.rachelneumeier.com/	Orbit	2012	0-3-1607277-X	83AF-E129-1B6B-37BB	2015-05-19	$11.26
Republic		Plato		Hackett Pub Co	2004	08-72207-36-6	4672-7DE9-057D-EA32	2022-02-27	$13.02
The Pale Horse	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1972	06717-76-15-0	BBE5-6350-1B26-D9C7	1980-06-16	$10.43
Fantastic Mr. Fox	Roald	Dahl	https://www.roalddahl.com/	Puffin	1988	0-140-32872-6	F72F-96A3-98F3-EC4A	2021-05-26	$12.33
The Reptile Room	Lemony	Snicket	http://danielhandler.com/	HarperCollins	1999	0-0-6440767-5	BD16-BF38-D80F-B6E2	2007-09-30	$15.43
The Reptile Room	Lemony	Snicket	http://danielhandler.com/	HarperCollins	1999	0-0-6440767-5	F1AC-4A05-B614-2FCD	2000-12-27	$17.27
The Lord of the Rings	J. R. R.	Tolkien	https://www.tolkienestate.com/	Houghton Mifflin Harcourt	1991	039559-5-11-8	8F33-7F8A-D4F4-3293	2007-08-12	$19.40
Designing for the Digital Age: How to Create Human-Centered Products and Services	Kim	Goodwin		Wiley	2009	978-0470-22-910-1	4AFD-C209-3963-A446	2010-09-03	$6.32
Just My Type: A Book About Fonts	Simon	Garfield		Gotham	2011	978-1592-4-0652-4	EFCA-D962-F24A-0049	2020-10-16	$9.63
White Mughals: Love and Betrayal in Eighteenth-Century India	William	Dalrymple	https://williamdalrymple.com/	Perfection Learning	2004	0143-0304-6-9	819B-6D65-3F9D-B9F8	2011-01-28	$6.52
White Mughals: Love and Betrayal in Eighteenth-Century India	William	Dalrymple	https://williamdalrymple.com/	Perfection Learning	2011	978-1-9-9378706-4	A7C5-990E-A4FC-C88A	2013-08-16	$18.85
The Minpins	Roald	Dahl	https://www.roalddahl.com/	Scholastic Press	1996	05901-631-8-3	7361-9016-7411-A70B	2001-03-20	$15.39
The Minpins	Roald	Dahl	https://www.roalddahl.com/	Scholastic Press	2005	97-9-843932-3	7F3F-6996-1C66-FCEF	2012-11-12	$14.06
The Rope Trick	Lloyd	Alexander		Dutton Juvenile	2002	0-5-2547020-4	A80C-8439-2643-A5CA	2008-03-30	$14.99
Uprooted	Naomi	Novik	http://naominovik.com/	Del Rey	2016	080417-9-05-0	C17F-A22A-28B9-E5BD	2021-07-23	$7.82
Uprooted	Naomi	Novik	http://naominovik.com/	Del Rey	2016	080417-9-05-0	0C80-9F4B-C65A-AE81	2019-02-11	$14.01
Uprooted	Naomi	Novik	http://naominovik.com/	Del Rey	2021	978-3-232-79413-2	1822-C22C-1E20-7CCC	2021-01-03	$14.35
Uprooted	Naomi	Novik	http://naominovik.com/	Del Rey	2021	978-3-232-79413-2	9F7F-24FC-24F6-AC24	2021-05-05	$13.35
The Mountain of Kept Memory	Rachel	Neumeier	https://www.rachelneumeier.com/	Saga Press	2016	148-1-44894-3	6806-668E-6D66-7413	2018-03-21	$14.91
Death Note, Vol. 5	Tsugumi	Ohba		VIZ Media LLC	2006	14215-0-626-2	AA62-B7D6-2A18-1798	2021-06-16	$9.10
Death Note, Vol. 5	Tsugumi	Ohba		VIZ Media LLC	2006	14215-0-626-2	CA1F-3759-B9BD-DD37	2013-06-17	$9.66
Death Note, Vol. 5	Tsugumi	Ohba		VIZ Media LLC	2006	14215-0-626-2	72CA-72B4-14CA-1F86	2019-11-08	$12.44
The El Dorado Adventure	Lloyd	Alexander		Dutton Juvenile	1987	05254-4-313-4	C90B-5852-8B3A-C48E	1991-09-25	$11.74
The El Dorado Adventure	Lloyd	Alexander		Dutton Juvenile	1987	05254-4-313-4	0492-50AB-2F11-A599	2019-05-02	$14.30
The El Dorado Adventure	Lloyd	Alexander		Dutton Juvenile	1987	05254-4-313-4	AF93-CAB3-A8A8-C586	2010-11-13	$10.03
Lying	Sam	Harris		Four Elephants Press	2013	978-19400-5-100-0	3535-BCCD-6B74-55FE	2013-10-14	$17.84
Lying	Sam	Harris		Four Elephants Press	2013	978-19400-5-100-0	2A51-8FB7-94A9-5C95	2020-11-30	$17.02
Lying	Sam	Harris		Four Elephants Press	2013	978-19400-5-100-0	F4FF-D342-BD48-0A6B	2017-12-30	$17.73
Harry Potter and the Order of the Phoenix	J. K.	Rowling	https://jkrowling.com/	Bloomsbury	2003	07-4-755100-6	A286-DD1E-C2E2-7A3E	2009-12-03	$15.17
Perhaps the Stars	Ada	Palmer	https://www.adapalmer.com/	Tor Books	2021	0-7-6537806-X	FBFD-11AD-21EB-C8F5	2022-01-23	$11.15
The Start-up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career	Reid	Hoffman	https://www.reidhoffman.org/	Currency	2012	0307-888-90-8	391B-F088-968A-B6E2	2012-04-13	$11.47
The Eye of the World: The Graphic Novel, Volume Three	Robert	Jordan		Tor Books	2014	07-6-533788-6	7055-11FF-9078-293D	2020-08-22	$13.89
Murder in the Calais Coach	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1974	06-717-7448-4	AB7B-1A64-C060-56E0	2010-01-23	$14.76
500 Lines or Less	Amy	Brown		lulu.com	2016	1-3298712-7-8	68EF-6E03-953D-76B0	2018-10-07	$17.21
Arcanum Unbounded: The Cosmere Collection	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2016	076-53911-6-3	B9A1-B5C0-3A19-0E61	2016-06-13	$10.89
By the Shores of Silver Lake	Laura Ingalls	Wilder		HarperCollins	1953	00-6-440005-0	72A4-BFE5-BA7C-DEA4	2000-07-12	$12.44
Smoke and Mirrors: Short Fictions and Illusions	Neil	Gaiman	https://neilgaiman.com/	Avon	2005	038-0-78902-7	F61D-A722-66C3-584B	2015-07-11	$12.44
Thick as Thieves	Megan Whalen	Turner	http://meganwhalenturner.org/	Greenwillow Books	2017	00-62568-24-8	ABF0-0067-CDF6-61DF	2021-09-22	$11.32
The Food Lab: Better Home Cooking Through Science	J. Kenji	López-Alt		W. W. Norton & Company	2015	039-30-8108-7	0B84-F490-9262-0572	2021-11-12	$16.39
Assassin's Apprentice	Robin	Hobb	http://www.robinhobb.com/	Spectra	1996	055-35-7339-X	ABB6-F622-501D-5E37	1999-02-10	$14.92
The Stone of Farewell	Tad	Williams	https://www.tadwilliams.com/	DAW	1990	08867-74-35-7	763D-0D3B-0FAE-BC85	2001-07-03	$17.60
The Stone of Farewell	Tad	Williams	https://www.tadwilliams.com/	DAW	1990	08867-74-35-7	749C-3F70-BC11-EBD3	1994-05-11	$9.09
The Stone of Farewell	Tad	Williams	https://www.tadwilliams.com/	DAW	2001	77-40-67029-7	545E-56D6-168E-9D13	2017-10-08	$18.21
Penric's Progress	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	2020	198-212-429-6	0BA6-5587-F840-041D	2021-03-26	$7.88
Jim Butcher's Dresden Files: Down Town	Jim	Butcher	https://www.jim-butcher.com/	Dynamite Entertainment	2015	1-60-690700-X	87D6-6777-2CBC-22FE	2019-06-02	$7.66
Embassytown	China	Mieville	http://www.chinamieville.net/	Del Rey	2011	0345-5-2449-7	C495-D4BF-8C78-F8B6	2018-12-02	$7.69
Embassytown	China	Mieville	http://www.chinamieville.net/	Del Rey	2011	0345-5-2449-7	D0E8-DD24-2293-287A	2018-11-10	$15.70
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure	William	Goldman		Del Rey	2000	03-4534-803-6	C5D8-BAB8-5AE6-271C	2018-10-16	$5.48
How To Win Friends and Influence People	Dale	Carnegie		Simon & Schuster	2009	143916-73-4-6	7AC6-D2C8-F54E-35A2	2013-09-18	$5.30
How To Win Friends and Influence People	Dale	Carnegie		Simon & Schuster	2011	978-0-08-247658-5	0AF6-0436-8857-4141	2021-05-05	$10.14
The Secret Garden	Frances Hodgson	Burnett		Universe	1998	088363-2-02-0	5D0A-DAC8-0458-E179	2007-06-16	$10.19
Dubliners	James	Joyce		Penguin Books	1976	01-400-4222-9	84C3-C90B-CB36-75FE	2008-05-14	$17.37
Dubliners	James	Joyce		Penguin Books	1976	01-400-4222-9	DC18-6B05-5B3E-4E1F	1995-10-04	$6.88
Well-Designed: How to Use Empathy to Create Products People Love	Jon	Kolko		Harvard Business Review Press	2014	1-625-27479-3	0249-9B14-A3A0-6971	2014-02-05	$5.57
Penric's Labors	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	2022	1-982-19224-0	2BBA-FCF3-2965-F432	2022-09-17	$18.45
The Firework-Maker's Daughter	Philip	Pullman	http://philip-pullman.com/	Arthur A. Levine Books	2000	05901-294-3-0	4E8C-C666-7B00-5B5B	2016-03-30	$19.39
The Wish	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins Canada	2000	0-0-6027901-X	9FAC-2F94-834C-3E3C	2020-03-15	$8.27
The Wish	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins Canada	2000	0-0-6027901-X	0834-4C56-6BD9-2A09	2017-12-24	$14.55
The Wish	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins Canada	2000	0-0-6027901-X	1845-416C-294C-60E2	2021-10-22	$15.51
The Wish	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins Canada	2008	978-0-4-0095460-3	EC5F-E731-0FAE-3B3A	2012-09-29	$17.15
Death Note, Vol. 6	Tsugumi	Ohba		VIZ Media LLC	2006	14-2-150627-0	3D62-BC83-66FA-F08C	2017-02-07	$12.95
The Merchant and the Alchemist's Gate	Ted	Chiang		Subterranean Press	2007	15-960610-0-6	3A50-6531-D6D9-3821	2021-08-29	$8.56
The Bad Beginning	Lemony	Snicket	http://danielhandler.com/	HarperCollins	1999	00-6-075589-X	A6A6-F3D4-8505-E6C2	2014-12-10	$15.79
Side Jobs: Stories From the Dresden Files	Jim	Butcher	https://www.jim-butcher.com/	Roc	2010	04-51-46365-X	B01A-2827-9B6C-3548	2021-05-15	$5.80
From The Two Rivers: The Eye of the World, Book 1	Robert	Jordan		Starscape	2002	0-7-6534184-0	AFE5-037D-2632-1B20	2007-12-25	$18.49
A Hole in Space	Larry	Niven		Del Rey	1986	0345-33-777-8	2C47-86A4-7BB4-340D	2006-07-31	$15.69
A Hole in Space	Larry	Niven		Del Rey	1986	0345-33-777-8	428F-29B3-BC85-EE90	1994-05-19	$19.01
About Face: The Essentials of Interaction Design	Alan	Cooper		Wiley	2014	1118-7-6657-1	082E-8F79-9DDF-869F	2020-11-28	$8.31
A Shadow in Summer	Daniel	Abraham	https://www.danielabraham.com/	Tor Books	2006	076-53134-0-5	B07A-2271-3FAD-7AFC	2016-03-20	$10.58
The Story of the Amulet	Edith	Nesbit		SMK Books	2010	160-45-9694-5	8125-F02C-5EBF-8B84	2021-08-30	$9.97
A Deadly Education	Naomi	Novik	http://naominovik.com/	Del Rey	2020	0593128-4-8-6	7974-0620-8F6F-3E05	2021-05-08	$11.64
Murder in Three Acts	Agatha	Christie	https://www.agathachristie.com/	Popular Library	1961	004450-0-44-0	05BC-4676-7BBA-3345	1970-07-25	$17.14
The Last Unicorn	Peter S.	Beagle		Roc	1991	045145-0-52-3	8553-23B8-DC8B-41BF	2007-01-09	$14.02
The Last Unicorn	Peter S.	Beagle		Roc	2003	721-929-370-X	0A91-7855-5C2F-CB57	2009-09-04	$19.25
Fool Moon	Jim	Butcher	https://www.jim-butcher.com/	Roc	2001	04514-5-812-5	A818-8FBD-FDB1-C545	2015-02-13	$13.42
Rose Daughter	Robin	McKinley	https://robinmckinley.com/	Greenwillow Books	1997	0688-1-5439-5	1639-9205-F5E0-7164	2016-03-13	$11.09
Cloven Hooves	Megan	Lindholm	https://www.meganlindholm.com/	Harper Voyager	2019	00-0828-739-2	7546-9CD9-3FE5-BADF	2019-12-09	$15.49
Life's Journeys According to Mister Rogers	Fred	Rogers	https://pbskids.org/rogers/	Hachette Books	2019	0-3-1649329-5	4D73-4BB8-6042-5585	2020-12-29	$5.79
Life's Journeys According to Mister Rogers	Fred	Rogers	https://pbskids.org/rogers/	Hachette Books	2019	0-3-1649329-5	638A-8EDE-7DBA-3CC0	2022-05-03	$9.76
Anthony Bourdain's Les Halles Cookbook: Strategies, Recipes, and Techniques of Classic Bistro Cooking	Anthony	Bourdain		Bloomsbury USA	2004	1582341-8-0-X	048B-EC61-E325-7A30	2009-12-11	$9.31
King Arthur and his Knights of the Round Table	Roger Lancelyn	Green		Puffin	2008	014-1-32101-6	056C-0E77-3AA2-2809	2011-10-10	$11.87
Dave at Night	Gail Carson	Levine	https://gailcarsonlevine.com/	Scholastic Press	1999	978-04-3-920209-1	665D-080F-027E-6813	2006-06-02	$9.83
City of Dragons	Robin	Hobb	http://www.robinhobb.com/	Harper Voyager	2012	0061-561-63-0	E7BC-8E7F-A14F-80E3	2014-09-06	$12.05
Under the Banyan Tree & Other Stories	R K	Narayan		Indian Thought Publications	1994	818-59861-4-2	4788-9628-B52E-62DB	1995-09-22	$18.09
Meat: A Kitchen Education	James	Peterson	https://jimcooks.com/	Ten Speed Press	2010	1580-089-92-5	BACD-FCCA-ACE3-182C	2020-05-19	$10.31
Childhood's End	Arthur C.	Clarke	http://clarkefoundation.org/	Harcourt	1969	0-15117-205-6	237B-FC69-80B5-102D	1986-07-27	$14.39
Calamity	Brandon	Sanderson	https://www.brandonsanderson.com/	Delacorte Press	2016	0-3-8574360-2	B74D-C813-D1B4-5C90	2019-03-04	$8.20
Ghost Story	Jim	Butcher	https://www.jim-butcher.com/	Roc	2011	04-51463-79-X	63BC-02D4-163E-718B	2013-05-08	$19.60
The Adventures of Huckleberry Finn	Mark	Twain		HarperPress	2010	000-73510-3-8	DF5C-954D-D310-6904	2017-05-27	$12.73
The Sandman Vol. 2: The Doll's House	Neil	Gaiman	https://neilgaiman.com/	Vertigo	1991	0-9-3028959-5	2E9E-4B92-6046-F6D8	1991-10-21	$10.87
The Sandman Vol. 2: The Doll's House	Neil	Gaiman	https://neilgaiman.com/	Vertigo	2003	16-5-180776-4	3A6C-39ED-CD8D-1F20	2007-07-13	$15.46
The Philadelphia Adventure	Lloyd	Alexander		Dutton Juvenile	1990	052544-5-64-1	3376-5795-3903-B9D2	2012-01-23	$12.66
On Web Typography	Jason	Santa Maria		Adams Media	2014	193-75-5707-3	1988-4A92-E098-A189	2020-11-11	$7.67
Ella Enchanted	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2017	00-6-440705-5	4FAD-B028-6740-6577	2018-05-06	$6.63
Ella Enchanted	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2017	00-6-440705-5	B31B-AA54-F054-3278	2020-10-06	$12.50
Usability Engineering	Jakob	Nielsen		Academic Press Inc	1993	012518-4-05-0	1DA8-5BCA-B545-5988	1995-05-09	$19.48
The First Four Years	Laura Ingalls	Wilder		HarperCollins	1953	0-06440-031-X	6E4A-7D4D-7E80-E1DA	2015-04-04	$13.82
The First Four Years	Laura Ingalls	Wilder		HarperCollins	1953	0-06440-031-X	746C-A099-39EC-A2E1	1963-12-05	$18.41
High Output Management	Andrew S.	Grove		Vintage	1995	978-067-9-76288-1	162B-31DD-6ADD-1138	2004-08-28	$19.14
The Seven Dials Mystery	Agatha	Christie	https://www.agathachristie.com/	Bantam Books	1976	05-531-2192-8	1F3B-E740-5296-B948	1995-12-23	$11.24
Fitz and The Fool: Coloring Book	Robin	Hobb	http://www.robinhobb.com/	Dabel Brothers	2018	0-99-961636-6	443B-9639-6C87-A6BE	2021-03-04	$6.78
The Giraffe and the Pelly and Me	Roald	Dahl	https://www.roalddahl.com/	Puffin	1994	01403-7-009-9	1AD1-3461-AD41-037D	2015-09-27	$12.06
The Giraffe and the Pelly and Me	Roald	Dahl	https://www.roalddahl.com/	Puffin	1994	01403-7-009-9	0E2E-C5CE-D401-32BF	2010-01-09	$13.21
Lean UX: Designing Great Products with Agile Teams	Jeff	Gothelf		O'Reilly Media	2021	109811-6-30-5	C4B3-1851-4D94-B0EC	2022-11-24	$16.94
The Wise Man's Fear: The Kingkiller Chronicle: Day Two	Patrick	Rothfuss	https://patrickrothfuss.com/	DAW	2012	075-640-712-5	AA08-43F6-3E9B-C9E6	2015-01-12	$19.51
Designing Interactions	Bill	Moggridge		MIT Press	2007	0-26-213474-8	3A74-E419-11CD-E980	2008-12-03	$11.72
Anna Karenina	Leo	Tolstoy		Penguin Books	1954	0-14044-041-0	CDE1-CC3E-3B8A-DA47	2012-12-01	$9.60
Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies	Reid	Hoffman	https://www.reidhoffman.org/	Currency	2018	15247-614-1-9	B2C5-F9DC-A355-DAB4	2020-07-30	$19.37
The Meaning Of It All: Thoughts Of A Citizen-scientist	Richard	Feynman	http://richardfeynman.com/	Basic Books	1998	020136-0-80-2	62DF-CB64-BC58-FFD6	2018-02-08	$6.22
Women in the Material World	Faith	D'Aluisio		Sierra Club Books	1996	0-871563-98-3	A15A-8F73-9DEF-BCDA	2020-10-26	$19.16
A Conspiracy of Kings	Megan Whalen	Turner	http://meganwhalenturner.org/	Greenwillow Books	2010	006-187-093-5	7B92-E98B-2681-5E0B	2022-02-17	$19.77
Spring-Heeled Jack	Philip	Pullman	http://philip-pullman.com/	Yearling	2004	0-4-4041881-X	3209-CD7D-157E-4F6B	2022-04-13	$14.87
The Abhorsen Trilogy Box Set	Garth	Nix	https://garthnix.com/	HarperTeen	2005	006-07341-9-1	1257-38EE-CCD0-7D7B	2019-06-20	$15.25
FirstBorn & Defending Elysium	Brandon	Sanderson	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2013	19385-70-00-6	C6F5-8F7D-8610-BAB2	2020-01-05	$9.87
FirstBorn & Defending Elysium	Brandon	Sanderson	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2013	19385-70-00-6	44B9-C076-A5E9-0044	2015-07-03	$6.29
A Wrinkle in Time	Madeleine	L'Engle		Laurel Leaf	1976	0-4409-9805-0	7BDE-C567-5346-1B4F	2022-09-13	$19.71
The Just Bento Cookbook: Everyday Lunches To Go	Makiko	Itoh		Kodansha USA	2011	47-70031-24-6	8F70-4696-B15B-AFAE	2019-10-29	$15.16
Lions of Al-Rassan	Guy Gavriel	Kay	https://brightweavings.com/	Harper Voyager	2011	0007-3-4206-3	D2A0-11E4-D526-1372	2011-03-23	$8.44
Lions of Al-Rassan	Guy Gavriel	Kay	https://brightweavings.com/	Harper Voyager	2015	978-692-1-49834-1	6900-7A78-199D-F00D	2020-07-07	$6.45
Lions of Al-Rassan	Guy Gavriel	Kay	https://brightweavings.com/	Harper Voyager	2015	978-692-1-49834-1	4F94-8FB2-D610-6B49	2019-02-03	$13.72
Lions of Al-Rassan	Guy Gavriel	Kay	https://brightweavings.com/	Harper Voyager	2015	978-692-1-49834-1	FBCF-A0D3-80F0-A7CB	2018-02-05	$18.71
A Face Like Glass	Frances	Hardinge	http://www.franceshardinge.com/	Harry N. Abrams	2017	1-4-1972484-3	C317-C09B-DA72-9D28	2022-10-20	$8.34
The Slippery Slope	Lemony	Snicket	http://danielhandler.com/	HarperCollins	2003	0-060296-41-0	A205-6E3E-BCD8-5DCE	2009-02-27	$6.82
Harry Potter: The Illustrated Collection	J. K.	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2018	1-33-831291-X	80C6-DB31-846F-C9FD	2021-03-29	$19.91
Death Note, Vol. 2	Tsugumi	Ohba		VIZ Media LLC	2005	1421-501-69-4	ECFD-3C70-CA64-ECF9	2007-12-29	$19.16
Death Note, Vol. 2	Tsugumi	Ohba		VIZ Media LLC	2009	978-9-15616-612-8	01ED-8230-F49D-7891	2022-01-29	$7.56
Elephants Can Remember: A Hercule Poirot Mystery	Agatha	Christie	https://www.agathachristie.com/	William Morrow	2011	00-6-207403-2	653A-3B0E-1417-F658	2011-07-25	$12.03
Before They Are Hanged	Joe	Abercrombie	https://joeabercrombie.com/	Pyr	2008	159102-6-41-5	52EB-2592-7E60-73B7	2015-04-18	$11.18
Empowered: Ordinary People, Extraordinary Products	Marty	Cagan		Wiley	2020	1119-691-29-X	689D-33D3-97D2-D008	2021-09-19	$6.56
